Timestamp,Electric_Load_kW,Thermal_Load_kW,Grid_Price_USD_per_kWh,Baseline_CHP_Gen_kW,Baseline_Grid_Import_kW,Optimized_CHP_Gen_kW,Battery_Power_kW,Battery_SOC_kWh,Optimized_Grid_Import_kW
2024-10-15 00:00,165,410,0.045,210,0,250,-85,100,0
2024-10-15 01:00,150,430,0.041,215,0,250,-100,200,0
2024-10-15 02:00,145,450,0.040,225,0,250,-105,305,0
2024-10-15 03:00,140,460,0.040,230,0,250,-110,415,0
2024-10-15 04:00,155,440,0.042,220,0,250,-95,510,0
2024-10-15 05:00,180,400,0.048,200,0,250,-70,580,0
2024-10-15 06:00,240,350,0.055,240,0,250,-10,590,0
2024-10-15 07:00,310,290,0.068,310,0,310,0,590,0
2024-10-15 08:00,380,240,0.075,380,0,380,0,590,0
2024-10-15 09:00,420,210,0.082,420,0,420,0,590,0
2024-10-15 10:00,450,190,0.085,450,0,450,0,590,0
2024-10-15 11:00,470,180,0.080,470,0,470,0,590,0
2024-10-15 12:00,480,175,0.072,480,0,480,0,590,0
2024-10-15 13:00,490,170,0.070,490,0,490,0,590,0
2024-10-15 14:00,510,180,0.088,500,10,500,10,580,0
2024-10-15 15:00,540,210,0.115,500,40,500,40,540,0
2024-10-15 16:00,560,250,0.145,500,60,500,60,480,0
2024-10-15 17:00,580,310,0.168,500,80,500,80,400,0
2024-10-15 18:00,590,360,0.185,500,90,500,90,310,0
2024-10-15 19:00,570,390,0.170,500,70,500,70,240,0
2024-10-15 20:00,520,400,0.130,500,20,500,20,220,0
2024-10-15 21:00,440,410,0.095,440,0,440,0,220,0
2024-10-15 22:00,310,415,0.065,310,0,310,0,220,0
2024-10-15 23:00,210,420,0.050,210,0,210,0,220,0
